idx;result;table;_start;_stop;_time;_value;InstallationName;_field;_measurement
105;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T17:30:00Z;-18,52;acme;a;007955_0x40
106;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T17:40:00Z;-19,91;acme;a;007955_0x40
107;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T17:50:00Z;-18,9;acme;a;007955_0x40
108;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T18:00:00Z;-19,35;acme;a;007955_0x40
109;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T18:10:00Z;-19,49;acme;a;007955_0x40
110;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T18:20:00Z;-18,69;acme;a;007955_0x40
111;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T18:30:00Z;-19,98;acme;a;007955_0x40
112;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T18:40:00Z;-18,79;acme;a;007955_0x40
113;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T18:50:00Z;-19,64;acme;a;007955_0x40
114;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T19:00:00Z;-19,36;acme;a;007955_0x40
115;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T19:10:00Z;-18,84;acme;a;007955_0x40
116;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T19:20:00Z;-20;acme;a;007955_0x40
117;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T19:30:00Z;-18,72;acme;a;007955_0x40
118;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T19:40:00Z;-19,77;acme;a;007955_0x40
119;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T19:50:00Z;-19,28;acme;a;007955_0x40
120;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T20:00:00Z;-18,82;acme;a;007955_0x40
121;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T20:10:00Z;-19,72;acme;a;007955_0x40
122;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T20:20:00Z;-18,64;acme;a;007955_0x40
123;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T20:30:00Z;-19,92;acme;a;007955_0x40
124;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T20:40:00Z;-18,96;acme;a;007955_0x40
